contributor,dataset,label,NA,NT,NR,NOR,ORR,NAR_mean,NAR_median,NAR_std,NAR_gini,NAR_IQR,NAT_mean,NAT_median,NAT_std,NAT_gini,NAT_IQR,NCAR_mean,NCAR_median,NCAR_std,NCAR_gini,NCAR_IQR,NTR_mean,NTR_median,NTR_std,NTR_gini,NTR_IQR,DCAR_mean,DCAR_median,DCAR_std,DCAR_gini,DCAR_IQR,DAAR_mean,DAAR_median,DAAR_std,DAAR_gini,DAAR_IQR,DCA_mean,DCA_median,DCA_std,DCA_gini,DCA_IQR,DCAT_mean,DCAT_median,DCAT_std,DCAT_gini,DCAT_IQR
mitk-bot,train,Bot,94,3,2,1,0.5,47.0,47.0,63.64,0.479,45.0,31.333,7.0,46.544,0.589,41.5,31.333,3.0,49.943,0.617,43.5,2.5,2.5,0.707,0.1,0.5,502.936,0.212,870.852,0.666,754.212,0.278,0.278,0.241,0.305,0.17,16.23,3.978,28.136,0.719,18.739,3.837,0.022,8.606,0.815,0.532
carsongee,train,Human,16,6,5,3,0.6,3.2,4.0,1.643,0.25,2.0,2.667,1.0,3.615,0.5,0.75,2.667,2.0,1.506,0.271,1.5,2.0,2.0,1.225,0.28,1.0,0.074,0.03,0.094,0.519,0.104,339.393,63.158,571.251,0.677,174.2,113.161,0.048,347.354,0.892,27.515,43.419,0.043,79.666,0.75,56.972
dcodeio,train,Human,13,6,3,3,1.0,4.333,4.0,2.517,0.256,2.5,2.167,1.5,1.941,0.372,1.0,3.25,2.5,2.63,0.365,2.25,2.667,2.0,1.155,0.167,1.0,7.593,4.692,9.835,0.451,11.63,44.791,6.761,70.132,0.614,61.918,13.729,1.184,35.764,0.835,5.16,22.935,4.748,45.892,0.753,12.746
miquelcabot,train,Human,164,6,45,10,0.222,3.644,1.0,11.606,0.673,0.0,27.333,7.0,44.455,0.654,17.25,2.982,1.0,5.905,0.59,1.0,1.289,1.0,0.661,0.19,0.0,7.332,0.0,29.861,0.804,0.005,23.098,0.007,52.614,0.85,3.383,10.126,0.137,32.45,0.901,1.394,25.294,0.633,46.912,0.789,22.589
mosen,train,Human,16,3,3,2,0.667,5.333,2.0,6.658,0.5,6.0,5.333,3.0,5.859,0.458,5.5,3.2,1.0,4.919,0.55,0.0,1.333,1.0,0.577,0.167,0.5,14.498,0.0,32.418,0.0,0.0,438.83,409.365,469.55,0.494,730.985,121.854,0.005,294.502,0.852,36.234,217.431,72.434,403.76,0.718,78.083
florentx,train,Human,176,5,11,3,0.273,16.0,13.0,8.752,0.274,6.5,35.2,14.0,46.489,0.595,38.0,1.344,1.0,1.264,0.236,0.0,1.727,2.0,0.647,0.182,1.0,0.233,0.0,1.471,0.758,0.0,7.728,0.001,23.629,0.908,0.213,5.915,0.015,20.614,0.924,0.283,8.908,0.128,27.335,0.901,0.71
mend-for-github-com[bot],train,Bot,228,8,62,20,0.323,3.677,1.0,12.333,0.688,0.0,28.5,6.5,53.112,0.694,18.5,3.677,1.0,12.333,0.688,0.0,1.29,1.0,0.755,0.198,0.0,0.014,0.0,0.075,0.757,0.0,0.229,0.023,0.428,0.771,0.212,0.065,0.001,0.245,0.922,0.004,0.165,0.001,0.388,0.846,0.035
p0nce,train,Human,235,12,14,4,0.286,16.786,4.0,34.338,0.736,3.75,19.583,5.0,27.04,0.63,25.0,3.672,2.0,4.494,0.535,3.25,3.143,2.0,2.445,0.373,1.0,7.887,0.007,17.043,0.677,4.41,5.484,0.974,7.866,0.686,6.348,3.634,0.277,7.374,0.804,1.676,3.827,0.157,7.733,0.808,1.756
findinganand,train,Bot,289,5,4,2,0.5,72.25,73.0,72.491,0.44,123.75,57.8,7.0,118.671,0.754,7.0,1.431,1.0,0.562,0.183,1.0,2.0,1.5,1.414,0.312,1.5,0.19,0.0,0.347,0.436,0.068,5.195,0.608,8.954,0.73,0.765,3.759,0.611,7.791,0.778,0.761,0.817,0.11,2.601,0.849,0.367
changhiskhan,train,Human,16,4,4,2,0.5,4.0,2.0,4.0,0.375,2.0,4.0,3.0,2.828,0.312,3.0,2.286,2.0,1.604,0.339,2.0,2.25,2.0,1.258,0.25,0.75,137.922,0.002,280.935,0.637,108.747,142.818,116.917,113.953,0.393,138.813,121.491,49.664,198.275,0.696,166.092,155.484,67.292,234.475,0.64,165.031
